"IDENTITY_NAME","LAST_PLAN_NAME","CHURNED","HAS_BEEN_ADOPTED","LIFETIME","BILLING_CYCLE_FIXED","APPOINTMENTS_PER_WEEK","PAYMENTS_PER_WEEK","DIRECTORY_TYPE"
"Sales, Marketing & Advertising",vCita Lead Generation (Annual),0,0,775,Annual,0.000000,0,Direct
Photography & Video,vCita Business (Monthly),0,1,229,Monthly,0.100437,11.131,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Monthly),1,1,565,Monthly,0.141593,30.274,Direct
Business Services,vCita Online Scheduling (Monthly),0,0,2305,Monthly,0.008677,0,Direct
Business Services,vCita Business (Monthly),0,0,1445,Monthly,0.000692,0,Reseller
"Hospitality, Travel & Leisure",vCita Platinum (Monthly),0,0,123,Monthly,0.487805,0,Direct
Business Services,vCita Online Scheduling (Monthly),1,0,349,Monthly,0.020057,0,Direct
Beauty & Personal Care,vCita Essentials (Annual),0,0,438,Annual,0.015982,0,Direct
Government & Non-profit,vCita Online Scheduling (Annual),0,0,1267,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),0,0,242,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,183,Monthly,0.000000,0,Direct
Beauty & Personal Care,vCita Business (Annual),0,0,833,Annual,0.010804,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Monthly),0,0,237,Monthly,0.025316,0.954,Direct
IT & Web,Online Scheduling (Monthly),0,0,1239,Monthly,0.001614,0,Reseller
"Sales, Marketing & Advertising",vCita Essentials (Monthly),1,0,30,Monthly,0.000000,0,Direct
Photography & Video,vCita Essentials (Monthly),1,0,30,Monthly,0.033333,3.333,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,221,Monthly,0.000000,0,Reseller
"Events, Planning & Catering",vCita Essentials (Monthly),1,0,174,Monthly,5.735632,0,Direct
Business Services,vCita Essentials (Annual),0,0,379,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,317,Monthly,0.000000,0,Direct
Legal Services,Obs. vCita Essentials (Annual),0,0,1327,Annual,0.074604,0,Direct
IT & Web,vCita Essentials (Annual),0,0,745,Annual,0.004027,0.152,Reseller
Coaching & Consulting,vCita Essentials (Annual),0,0,1111,Annual,0.018902,0.045,Solution Provider
"Sales, Marketing & Advertising",vCita Essentials (Monthly),1,1,523,Monthly,0.001912,191.181,Direct
"Education, Instruction & Tutoring",vCita Platinum Single (Annual),1,0,308,Annual,0.032468,0,Direct
Coaching & Consulting,vCita Business Single (Annual),1,0,236,Annual,1.266949,32.691,Reseller
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,212,Monthly,0.000000,0,Direct
Legal Services,vCita Business (Monthly),1,1,2184,Monthly,0.656593,0,Reseller
Coaching & Consulting,vCita Essentials (Annual),1,0,469,Annual,0.010661,0.618,Reseller
Coaching & Consulting,vCita Business (Annual),0,1,1151,Annual,0.147698,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,1,409,Monthly,0.105134,0,Direct
"Education, Instruction & Tutoring",vCita Business (Annual),1,1,168,Annual,1.303571,38.095,Direct
Fitness,vCita Business Single (Monthly),1,0,144,Monthly,0.006944,0,Direct
Legal Services,vCita Online Scheduling (Monthly),1,0,1270,Monthly,0.036220,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,485,Monthly,0.000000,0,Direct
Business Services,vCita Essentials (Annual),0,0,794,Annual,0.000000,0,Direct
Real Estate,vCita Online Scheduling (Monthly),0,0,895,Monthly,0.023464,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Monthly),0,0,59,Monthly,0.101695,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Lead Generation (Annual),1,0,1597,Annual,0.000000,0,Direct
Beauty & Personal Care,vCita Essentials (Annual),1,0,105,Annual,0.000000,0,Direct
Financial Services,vCita Essentials (Monthly),0,0,458,Monthly,0.002183,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Monthly),1,1,214,Monthly,2.831776,34.638,Direct
Government & Non-profit,vCita Online Payments (Monthly),0,0,1014,Monthly,0.000000,1.731,Direct
"Education, Instruction & Tutoring",vCita Online Scheduling (Monthly),1,1,1936,Monthly,0.005682,0,Direct
IT & Web,vCita Online Scheduling (Annual),0,0,379,Annual,0.000000,0,Direct
Legal Services,vCita Business Single (Annual),1,0,173,Annual,0.635838,1.231,Direct
"Hospitality, Travel & Leisure",vCita Platinum 20 (Monthly),1,1,163,Monthly,3.380368,863.417,Direct
Business Services,vCita Essentials (Annual),1,0,73,Annual,0.013699,0,Direct
Photography & Video,vCita Essentials (Monthly),0,0,61,Monthly,0.000000,0,Direct
Auto Services,vCita Essentials (Monthly),0,0,433,Monthly,0.011547,0,Direct
Coaching & Consulting,vCita Online Scheduling (Annual),0,0,687,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Platinum (Monthly),0,1,92,Monthly,0.130435,0,Direct
Auto Services,Online Scheduling (Monthly),0,0,264,Monthly,0.000000,0,Solution Provider
Auto Services,vCita Online Scheduling (Monthly),1,0,54,Monthly,0.000000,0,Direct
Alternative Medicine,vCita Essentials (Monthly),0,0,432,Monthly,0.025463,0,Direct
Coaching & Consulting,vCita Online Scheduling (Annual),1,0,372,Annual,0.008065,0,Direct
Moving & Storage,vCita Platinum (Annual - Promo),1,0,81,Annual,0.024691,0,Direct
"Events, Planning & Catering",Business (Annual),0,1,639,Annual,0.176839,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Monthly),0,0,165,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),1,0,614,Monthly,0.112378,1.209,Reseller
Legal Services,vCita Business (Monthly),0,0,122,Monthly,0.000000,0,Direct
Business Services,vCita Online Scheduling (Annual),0,0,1138,Annual,0.000000,0,Direct
Legal Services,vCita Essentials (Monthly),0,0,93,Monthly,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Online Scheduling (Monthly),0,1,410,Monthly,0.109756,3.305,Direct
Business Services,vCita Platinum (Monthly),0,0,12,Monthly,0.000000,0,Reseller
Counseling & Mental Health,vCita Online Scheduling (Monthly),0,0,163,Monthly,0.092025,0,Direct
Financial Services,vCita Business (Monthly),0,1,1574,Monthly,0.383100,0,Direct
Business Services,Business (Annual),0,0,501,Annual,0.000000,0,Direct
Business Services,Business (Annual),0,0,467,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),0,1,183,Monthly,0.393443,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Monthly),0,0,785,Monthly,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Online Payments (Annual),0,0,674,Annual,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Platinum (Monthly),0,0,1359,Monthly,0.001472,0,Direct
Alternative Medicine,vCita Essentials (Monthly),1,0,16,Monthly,0.375000,0,Direct
Business Services,vCita Online Scheduling (Annual),1,0,365,Annual,0.054795,0,Direct
Business Services,vCita Business Single (Monthly),1,1,18,Monthly,2.666667,0.278,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Annual),1,0,117,Annual,0.094017,0,Direct
"Sales, Marketing & Advertising",vCita Platinum (Monthly),0,1,65,Monthly,0.015385,0,Direct
Healthcare & Medical,vCita Essentials (Monthly),0,0,183,Monthly,0.240437,0,Reseller
"Education, Instruction & Tutoring",vCita Online Scheduling (Monthly),0,0,30,Monthly,0.133333,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,61,Monthly,0.016393,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Annual),1,1,756,Annual,0.000000,45.141,Direct
Business Services,vCita Business (Annual),0,0,745,Annual,0.000000,0,Direct
Financial Services,vCita Online Scheduling (Monthly),0,0,65,Monthly,0.000000,0,Direct
Healthcare & Medical,vCita Essentials (Monthly),0,1,212,Monthly,0.330189,0,Direct
Business Services,vCita Business (Annual),0,0,725,Annual,0.000000,0,Direct
Beauty & Personal Care,vCita Platinum (Annual),1,0,388,Annual,0.069588,0,Direct
Business Services,vCita Business (Monthly),0,1,95,Monthly,0.052632,0.526,Direct
Auto Services,vCita Platinum (Annual),1,0,651,Annual,0.000000,0,Reseller
Fitness,vCita Business (Annual),0,0,813,Annual,0.000000,0.295,Direct
Coaching & Consulting,vCita Platinum (Annual),0,0,379,Annual,0.000000,0,Direct
Healthcare & Medical,vCita Essentials (Annual),0,0,1052,Annual,0.038973,0,Direct
Beauty & Personal Care,vCita Platinum (Monthly),0,0,124,Monthly,0.000000,0,Direct
Business Services,vCita Platinum (Monthly),0,0,276,Monthly,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Essentials (Monthly),0,0,64,Monthly,0.031250,0,Direct
Auto Services,vCita Business (Monthly),0,0,156,Monthly,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Online Scheduling (Monthly),0,0,33,Monthly,0.181818,0,Direct
"Education, Instruction & Tutoring",vCita Business (Monthly),0,0,94,Monthly,0.223404,0,Direct
"Sales, Marketing & Advertising",vCita Platinum (Monthly),0,0,306,Monthly,0.000000,0,Direct
Health & Wellness,Business (Annual),0,0,572,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,30,Monthly,0.000000,0,Direct
Financial Services,vCita Business (Monthly),0,0,30,Monthly,0.000000,0,Direct
IT & Web,vCita Business (Monthly),0,0,1801,Monthly,0.000000,0,Reseller
Financial Services,vCita Business (Annual),0,0,1128,Annual,0.000887,0,Direct
Legal Services,vCita Business (Monthly),0,1,152,Monthly,0.967105,0,Reseller
Healthcare & Medical,vCita Platinum (Monthly),0,1,104,Monthly,0.230769,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,280,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,317,Monthly,0.145110,5.789,Direct
"Sales, Marketing & Advertising",vCita Platinum (Bi-Annual),0,0,197,Annual,0.030457,0,Direct
Business Services,vCita Essentials (Annual),1,0,2573,Annual,0.001166,0,Direct
Business Services,vCita Business Single (Monthly),0,0,98,Monthly,0.010204,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,215,Monthly,0.004651,0,Direct
Animal Services,vCita Essentials (Monthly),1,0,92,Monthly,0.021739,1.718,Direct
Fitness,vCita Online Scheduling (Monthly),0,0,1253,Monthly,0.000000,0,Direct
Auto Services,vCita Platinum (Monthly),0,0,487,Monthly,0.008214,0.374,Direct
Coaching & Consulting,vCita Business (Monthly),0,1,100,Monthly,0.010000,4.75,Direct
"Education, Instruction & Tutoring",vCita Online Scheduling (Monthly),0,0,92,Monthly,0.543478,0,Direct
Business Services,vCita Platinum (Monthly),0,0,37,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),1,0,787,Annual,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Monthly),0,0,821,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",Business (Annual),0,0,478,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Monthly),1,1,244,Monthly,1.389344,0,Direct
Coaching & Consulting,vCita Business (Monthly),0,0,60,Monthly,0.050000,0,Direct
Coaching & Consulting,vCita Business (Monthly),0,1,100,Monthly,0.310000,5.85,Direct
Beauty & Personal Care,vCita Online Scheduling (Monthly),1,0,165,Monthly,0.369697,0,Direct
Wedding Services,vCita Essentials (Annual),1,0,159,Annual,1.691824,0,Direct
IT & Web,vCita Essentials (Monthly),1,0,49,Monthly,0.000000,1.02,Direct
Coaching & Consulting,vCita Essentials (Annual),1,0,607,Annual,0.000000,0,Reseller
Healthcare & Medical,vCita Essentials (Monthly),0,0,45,Monthly,0.000000,0,Direct
Animal Services,Business (Annual),0,0,416,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,524,Monthly,0.024809,0,Direct
Auto Services,vCita Online Scheduling (Monthly),0,0,1913,Monthly,0.000523,0,Direct
Health & Wellness,vCita Online Scheduling (Monthly),1,0,114,Monthly,0.026316,0,Direct
Financial Services,Business (Monthly),1,0,111,Monthly,0.072072,0,White Label
IT & Web,vCita Platinum 20 (Monthly),0,0,75,Monthly,0.253333,0,Direct
Real Estate,vCita Online Scheduling (Annual),1,0,833,Annual,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Business Single (Monthly),0,1,63,Monthly,0.253968,0,Direct
Government & Non-profit,vCita Online Scheduling (Monthly),0,1,153,Monthly,0.026144,0.131,Direct
Counseling & Mental Health,vCita Essentials (Monthly),0,0,726,Monthly,0.004132,0,Direct
Financial Services,vCita Essentials (Monthly),0,0,273,Monthly,0.007326,28.189,Direct
IT & Web,vCita Online Scheduling (Monthly),1,0,47,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),0,1,987,Monthly,0.031408,0,Direct
"Events, Planning & Catering",Business (Annual),0,0,468,Annual,0.000000,0,Direct
IT & Web,vCita Essentials (Monthly),0,0,31,Monthly,0.000000,0.032,Direct
Beauty & Personal Care,vCita Essentials (Annual),1,0,75,Annual,0.133333,0,Direct
Business Services,vCita Business (Annual),0,0,459,Annual,0.004357,0,Direct
Financial Services,vCita Platinum (Monthly),0,0,128,Monthly,0.039063,0,Reseller
Financial Services,vCita Online Scheduling (Annual),1,0,773,Annual,0.000000,0,Direct
Business Services,vCita Essentials (Annual),0,0,1484,Annual,0.002022,0,Direct
Coaching & Consulting,vCita Business (Monthly),1,0,609,Monthly,0.000000,0,Direct
Legal Services,vCita Business (Monthly),0,0,1060,Monthly,0.019811,0,Direct
Auto Services,Platinum (Monthly),0,0,73,Monthly,0.000000,0,White Label
Business Services,vCita Essentials (Annual),0,0,749,Annual,0.001335,0,Direct
Beauty & Personal Care,vCita Essentials (Annual),0,0,1136,Annual,0.000000,0,Direct
Government & Non-profit,vCita Essentials (Monthly),1,0,266,Monthly,0.000000,22.425,Direct
"Sales, Marketing & Advertising",vCita Business (Annual - Promo),0,0,154,Annual,0.038961,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Monthly),0,0,409,Monthly,0.009780,0,Reseller
Coaching & Consulting,vCita Essentials (Monthly),0,0,1035,Monthly,0.005797,0.386,Direct
"Events, Planning & Catering",vCita Essentials (Monthly),0,0,59,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Online Scheduling (Annual),1,0,698,Annual,0.000000,0,Direct
IT & Web,vCita Essentials (Annual),0,0,829,Annual,0.000000,0,Direct
IT & Web,vCita Business (Annual),1,0,817,Annual,0.000000,0,Direct
Business Services,vCita Essentials (Monthly),0,0,1355,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),0,0,183,Monthly,0.016393,0,Direct
IT & Web,vCita Essentials (Monthly),0,0,72,Monthly,0.000000,0,Direct
Counseling & Mental Health,vCita Business (Monthly),0,0,91,Monthly,0.000000,0,Direct
Business Services,vCita Business Single (Monthly),1,0,7,Monthly,0.000000,0,Direct
"Events, Planning & Catering",vCita Platinum (Monthly),0,0,38,Monthly,0.026316,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Monthly),0,0,512,Monthly,0.019531,0,Direct
Financial Services,vCita Business (Annual),1,0,844,Annual,0.000000,0,Direct
Real Estate,vCita Essentials (Monthly),0,0,90,Monthly,0.000000,0,Direct
Financial Services,vCita Business (Monthly),0,0,55,Monthly,0.000000,0,Direct
Auto Services,vCita Business Single (Monthly),1,0,150,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),1,0,2223,Annual,0.003149,0,Reseller
Business Services,vCita Business Single (Monthly),1,0,248,Monthly,0.004032,0,Direct
Legal Services,Essentials (Monthly),0,0,273,Monthly,0.010989,0,Reseller
"Sales, Marketing & Advertising",vCita Essentials (Annual),0,0,484,Annual,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business Single (Monthly),1,0,43,Monthly,0.000000,0,Solution Provider
Artists & Designers,vCita Business (Monthly),0,1,92,Monthly,0.141304,62.18,Direct
Coaching & Consulting,vCita Essentials (Annual),1,0,750,Annual,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Platinum 10 (Annual - Promo) ,0,0,105,Annual,0.200000,0,Direct
Legal Services,vCita Business (Monthly),0,0,159,Monthly,0.069182,0,Direct
Business Services,Obs. vCita Essentials (Annual),0,0,618,Annual,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Platinum (Monthly),0,0,62,Monthly,0.080645,0,Direct
Coaching & Consulting,vCita Business (Annual),1,0,788,Annual,0.012690,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,33,Monthly,0.060606,0,Direct
"Events, Planning & Catering",vCita Essentials (Annual),0,0,843,Annual,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business Single (Annual),0,0,31,Annual,0.096774,3.226,Direct
Government & Non-profit,vCita Business (Annual),1,0,820,Annual,0.009756,0,Direct
Animal Services,vCita Online Scheduling (Annual),0,0,775,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Annual),0,0,1248,Annual,0.000801,0,Direct
"Education, Instruction & Tutoring",vCita Essentials (Annual),1,0,1885,Annual,0.000000,0,Direct
IT & Web,vCita Online Scheduling (Monthly),0,0,346,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,192,Monthly,0.062500,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,138,Monthly,0.000000,0,Direct
Fitness,vCita Business (Annual),1,0,602,Annual,0.061462,0,Direct
Coaching & Consulting,vCita Business (Annual),0,0,640,Annual,0.000000,0,Direct
Business Services,vCita Online Scheduling (Annual),0,0,1110,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Annual),1,1,125,Annual,0.144000,28.419,Direct
IT & Web,vCita Essentials (Monthly),0,0,359,Monthly,0.027855,0,Direct
Business Services,vCita Essentials (Annual),1,0,807,Annual,0.000000,0,Direct
IT & Web,vCita Online Scheduling (Monthly),0,0,174,Monthly,0.005747,0,Reseller
Coaching & Consulting,vCita Essentials (Monthly),0,0,147,Monthly,0.054422,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Monthly),0,1,120,Monthly,0.816667,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Monthly),0,0,8,Monthly,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Annual - Promo),1,1,29,Annual,0.517241,39.655,Direct
Alternative Medicine,vCita Business Single (Monthly),1,0,22,Monthly,0.000000,0,Direct
Adult & Nightlife,vCita Business (Annual),0,0,744,Annual,0.000000,0,Direct
Business Services,vCita Online Scheduling (Annual),0,0,392,Annual,0.000000,0,Direct
Health & Wellness,vCita Essentials (Annual),1,0,633,Annual,0.000000,0,Direct
Healthcare & Medical,vCita Essentials (Monthly),0,0,37,Monthly,0.027027,0,Direct
Beauty & Personal Care,vCita Essentials (Monthly),0,0,31,Monthly,0.064516,0,Direct
Business Services,vCita Essentials (Monthly),0,0,144,Monthly,0.000000,0,Reseller
Artists & Designers,vCita Business (Monthly),0,0,28,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,1627,Monthly,0.000000,0,Direct
Business Services,vCita Lead Generation (Monthly),0,0,1132,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Annual),0,0,1148,Annual,0.000000,0,Direct
Financial Services,vCita Essentials (Annual),1,0,85,Annual,0.000000,0,Direct
Healthcare & Medical,vCita Platinum (Annual),1,0,764,Annual,0.010471,0,Direct
Business Services,vCita Online Scheduling (Monthly),0,0,24,Monthly,0.083333,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),1,0,733,Annual,0.000000,0,Direct
Government & Non-profit,vCita Essentials (Monthly),0,0,45,Monthly,0.000000,0,Direct
Healthcare & Medical,vCita Essentials (Monthly),0,0,35,Monthly,0.114286,0,Direct
Business Services,vCita Business Single (Monthly),0,0,94,Monthly,0.010638,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,31,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,637,Monthly,0.010989,0.179,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),1,0,33,Monthly,0.151515,0,Direct
"Education, Instruction & Tutoring",vCita Essentials (Monthly),1,0,15,Monthly,0.066667,0,Direct
Business Services,vCita Platinum (Monthly),0,0,30,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Platinum (Monthly),0,1,61,Monthly,2.836066,0,Direct
"Hospitality, Travel & Leisure",vCita Online Scheduling (Monthly),0,0,32,Monthly,0.000000,0,Direct
Business Services,vCita Lead Generation (Annual),1,0,2346,Annual,0.000000,0,Direct
Fitness,vCita Business (Monthly),0,1,75,Monthly,0.053333,33.291,Direct
Financial Services,Essentials (Annual),0,0,415,Annual,0.000000,0,Direct
IT & Web,vCita Platinum (Monthly),0,0,74,Monthly,0.000000,0,Direct
Health & Wellness,vCita Online Scheduling (Monthly),0,0,762,Monthly,0.000000,0,Direct
IT & Web,Essentials (Annual),0,0,406,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",Essentials (Annual),0,0,387,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),1,0,617,Annual,0.000000,0,Direct
Beauty & Personal Care,vCita Business (Monthly),0,0,1340,Monthly,0.000000,0,Direct
Legal Services,vCita Online Scheduling (Annual),0,0,365,Annual,0.000000,0,Reseller
Business Services,Business (Monthly),1,0,40,Monthly,0.025000,0,White Label
Fitness,vCita Essentials (Monthly),1,0,30,Monthly,7.433333,0,Direct
Writing & Language Services,vCita Business (Annual - Promo),1,1,67,Annual,0.537313,3.731,Direct
"Education, Instruction & Tutoring",vCita Platinum (Annual),1,0,686,Annual,0.001458,0,Direct
Business Services,vCita Platinum (Monthly),0,0,73,Monthly,0.000000,0,Direct
Government & Non-profit,vCita Essentials (Monthly),1,0,20,Monthly,0.000000,31.255,Direct
"Events, Planning & Catering",vCita Essentials (Monthly),0,0,454,Monthly,0.000000,0,Direct
Legal Services,vCita Platinum (Monthly),0,1,30,Monthly,0.233333,15.127,Direct
Business Services,vCita Essentials (Monthly),0,0,155,Monthly,0.000000,0,Direct
Legal Services,vCita Essentials (Annual),1,0,44,Annual,0.090909,0,Direct
"Sales, Marketing & Advertising",vCita Platinum (Annual),1,0,669,Annual,0.010463,0,Direct
IT & Web,vCita Essentials (Annual),1,0,772,Annual,0.000000,0,Reseller
"Hospitality, Travel & Leisure",vCita Online Scheduling (Annual),0,0,1192,Annual,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Business (Monthly),0,0,1,Monthly,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Essentials (Monthly),1,0,29,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Annual),0,0,427,Annual,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Business (Monthly),0,0,31,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Business (Annual),1,0,655,Annual,0.000000,0,Direct
Real Estate,vCita Online Scheduling (Monthly),1,0,56,Monthly,0.000000,0,Direct
Fitness,vCita Business (Monthly),0,1,28,Monthly,0.178571,6.247,Direct
Counseling & Mental Health,vCita Business (Annual),1,0,636,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),1,0,659,Monthly,0.000000,0,Direct
IT & Web,Essentials (Annual),0,0,407,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,2,Monthly,1.000000,0,Direct
Financial Services,vCita Online Scheduling (Monthly),1,0,1919,Monthly,0.000000,0,Direct
Counseling & Mental Health,vCita Essentials (Monthly),0,0,1603,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Business (Annual),1,0,741,Annual,0.000000,0,Direct
IT & Web,vCita Online Scheduling (Monthly),0,0,96,Monthly,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Essentials (Monthly),1,0,876,Monthly,0.000000,0,Direct
Counseling & Mental Health,vCita Platinum (Monthly),0,0,752,Monthly,0.083777,0.166,Direct
Coaching & Consulting,vCita Business (Monthly),0,0,381,Monthly,0.047244,0,Direct
Business Services,vCita Essentials (Monthly),0,0,303,Monthly,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Annual),1,1,2049,Annual,0.277208,1.681,Reseller
Photography & Video,vCita Online Scheduling (Monthly),1,1,1316,Monthly,0.142857,0,Direct
Financial Services,vCita Essentials (Annual),1,1,1873,Annual,0.435665,2.148,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),0,0,544,Annual,0.000000,0,Direct
Writing & Language Services,vCita Online Scheduling (Monthly),1,0,2653,Monthly,0.001131,0,Direct
Real Estate,vCita Business Single (Monthly),1,1,892,Monthly,0.000000,0,Direct
Legal Services,vCita Essentials (Monthly),1,1,1321,Monthly,0.079485,0,Direct
Business Services,vCita Online Scheduling (Monthly),0,0,1436,Monthly,0.001393,0,Direct
Legal Services,vCita Platinum (Annual),0,0,382,Annual,0.013089,0,Direct
Coaching & Consulting,vCita Business (Annual),0,0,837,Annual,0.014337,1.778,Direct
Business Services,vCita Online Scheduling (Monthly),1,0,2346,Monthly,0.004689,0,Direct
Artists & Designers,vCita Essentials (Annual),0,0,465,Annual,0.000000,0,Direct
Counseling & Mental Health,vCita Online Scheduling (Annual),0,0,1841,Annual,0.000543,0,Direct
Real Estate,vCita Essentials (Annual),0,0,1481,Annual,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Online Scheduling (Annual),1,1,1539,Annual,0.189084,0,Direct
Fitness,vCita Essentials (Annual),0,0,380,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Online Scheduling (Annual),1,0,1903,Annual,0.102995,0,Direct
Adult & Nightlife,vCita Essentials (Monthly),0,0,1392,Monthly,0.000718,0,Direct
Healthcare & Medical,vCita Business (Annual),0,0,1109,Annual,0.002705,0,Solution Provider
Healthcare & Medical,vCita Business (Annual),1,0,265,Annual,0.041509,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Annual),1,1,2435,Annual,1.462834,0,Direct
Coaching & Consulting,vCita Essentials (Annual),0,0,409,Annual,0.000000,0,Direct
Auto Services,vCita Business (Annual),1,0,1221,Annual,0.705160,0,Direct
Coaching & Consulting,vCita Essentials (Annual),0,0,1118,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,1004,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Annual),1,0,2641,Annual,0.000000,0,Direct
Healthcare & Medical,vCita Business (Annual),0,0,1109,Annual,0.007214,0,Solution Provider
Photography & Video,vCita Essentials (Annual),1,0,1509,Annual,0.030484,35.818,Direct
Healthcare & Medical,vCita Business (Annual),1,1,1166,Annual,1.019726,0,Direct
Auto Services,Business (Annual),0,0,418,Annual,0.000000,0,Direct
Business Services,Essentials (Monthly),1,0,2276,Monthly,0.000000,0,Reseller
Coaching & Consulting,vCita Business (Monthly),0,1,586,Monthly,0.351536,0,Direct
Business Services,vCita Essentials (Annual),1,0,2053,Annual,0.038967,0.512,Direct
Auto Services,Essentials (Monthly),0,0,408,Monthly,0.014706,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Monthly),0,0,1433,Monthly,0.000000,0,Direct
Financial Services,vCita Essentials (Monthly),0,0,347,Monthly,0.000000,0,Direct
Health & Wellness,vCita Essentials (Monthly),1,0,892,Monthly,0.002242,0,Direct
