"IDENTITY_NAME","LAST_PLAN_NAME","CHURNED","HAS_BEEN_ADOPTED","LIFETIME","BILLING_CYCLE_FIXED","APPOINTMENTS_PER_WEEK","PAYMENTS_PER_WEEK","DIRECTORY_TYPE"
Healthcare & Medical,vCita Business (Monthly),1,1,629,Monthly,5.149444,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Annual),1,1,606,Annual,0.737624,0,Direct
Business Services,vCita Online Scheduling (Monthly),1,1,1097,Monthly,0.329079,0,Direct
Beauty & Personal Care,vCita Platinum (Monthly),1,1,731,Monthly,6.406293,554.487,Direct
Healthcare & Medical,vCita Essentials (Annual),1,0,714,Annual,0.054622,0,Direct
Beauty & Personal Care,vCita Essentials (Annual),0,1,422,Annual,4.845972,0.063,Direct
Real Estate,vCita Essentials (Annual),1,0,2014,Annual,0.049652,0,Direct
Financial Services,vCita Business (Annual),1,0,1558,Annual,0.205392,3.174,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business Single (Annual),0,1,1840,Annual,0.221739,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,65,Monthly,0.092308,0,Direct
Financial Services,vCita Platinum (Annual),1,1,1946,Annual,1.516444,1.719,Direct
Coaching & Consulting,Business (Monthly),0,0,272,Monthly,0.003676,0,Solution Provider
"Events, Planning & Catering",vCita Business (Monthly),1,1,1547,Monthly,0.442146,0,Reseller
"Hospitality, Travel & Leisure",vCita Essentials (Annual),1,0,587,Annual,0.000000,0,Direct
Financial Services,vCita Online Scheduling (Annual),0,0,1505,Annual,0.010631,0,Direct
Alternative Medicine,vCita Essentials (Monthly),0,0,404,Monthly,0.059406,0,Direct
Coaching & Consulting,vCita Essentials (Annual),1,1,1990,Annual,0.231658,8.455,Direct
Government & Non-profit,vCita Business (Annual),0,0,1160,Annual,0.000000,0,Direct
Beauty & Personal Care,Platinum (Monthly),1,1,1603,Monthly,2.298191,0,Reseller
Business Services,vCita Essentials (Monthly),0,0,80,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Online Scheduling (Annual),1,1,1068,Annual,0.141386,0,Direct
Healthcare & Medical,vCita Platinum (Monthly),1,1,678,Monthly,18.693215,0,Direct
Government & Non-profit,vCita Business (Annual),0,0,744,Annual,0.012097,0,Reseller
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Monthly),0,0,755,Monthly,0.013245,0,Direct
Health & Wellness,vCita Essentials (Monthly),1,0,1985,Monthly,0.006549,2.33,Reseller
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Annual),1,0,1426,Annual,0.171809,0,Direct
IT & Web,vCita Online Scheduling (Monthly),1,0,2029,Monthly,0.008871,0,Direct
Legal Services,vCita Essentials (Monthly),0,0,334,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),1,0,2155,Monthly,0.008817,0.104,Direct
"Home & Garden Work, Cleaning & Repair",vCita Online Scheduling (Monthly),1,0,288,Monthly,0.006944,0,Direct
Coaching & Consulting,vCita Online Scheduling (Annual),1,0,1604,Annual,0.019950,0.461,Direct
Counseling & Mental Health,vCita Business (Annual),1,1,1976,Annual,0.181680,12.68,Direct
"Education, Instruction & Tutoring",vCita Essentials (Monthly),0,0,120,Monthly,0.025000,0,Direct
Business Services,vCita Online Scheduling (Annual),0,0,2032,Annual,0.000000,0,Reseller
Real Estate,vCita Business (Annual),1,0,1084,Annual,0.011070,0,Direct
Writing & Language Services,vCita Online Scheduling (Monthly),0,0,183,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),1,1,1565,Annual,0.681150,0,Direct
Alternative Medicine,Obs. vCita Essentials (Annual),0,0,2011,Annual,0.000995,0,Direct
Business Services,vCita Essentials (Monthly),0,0,424,Monthly,0.000000,0,Direct
Alternative Medicine,vCita Online Scheduling (Monthly),1,1,1250,Monthly,0.099200,8.438,Direct
"Education, Instruction & Tutoring",vCita Essentials (Monthly),0,1,1080,Monthly,0.645370,14.544,Direct
IT & Web,vCita Essentials (Monthly),1,1,2232,Monthly,0.268369,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,92,Monthly,0.010870,0.217,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Monthly),0,0,294,Monthly,0.013605,0,Direct
"Education, Instruction & Tutoring",vCita Platinum (Monthly),0,1,129,Monthly,0.116279,6.395,Direct
Business Services,vCita Online Scheduling (Annual),1,0,2523,Annual,0.049148,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),1,1,559,Monthly,0.008945,3.444,Reseller
Real Estate,vCita Platinum (Monthly),0,0,2009,Monthly,0.364858,0,Direct
Business Services,vCita Essentials (Monthly),1,0,889,Monthly,0.042745,0.281,Direct
Adult & Nightlife,Obs. vCita Essentials (Annual),1,0,1469,Annual,0.070116,0,Direct
Healthcare & Medical,vCita Essentials (Annual),1,0,1146,Annual,0.178883,0,Direct
Business Services,vCita Online Scheduling (Monthly),0,0,206,Monthly,0.000000,0,Reseller
Healthcare & Medical,vCita Online Scheduling (Annual),1,0,1729,Annual,0.030075,0,Direct
"Education, Instruction & Tutoring",vCita Online Scheduling (Monthly),0,0,46,Monthly,1.521739,0,Direct
Business Services,vCita Business (Annual),1,0,1908,Annual,0.000524,0.052,Direct
Health & Wellness,vCita Essentials (Monthly),1,1,2204,Monthly,0.525862,0,Direct
IT & Web,vCita Business (Monthly),1,1,1687,Monthly,0.164790,0,Direct
"Education, Instruction & Tutoring",vCita Platinum (Monthly),1,0,322,Monthly,0.257764,105.601,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),0,0,729,Monthly,0.005487,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,796,Monthly,0.016332,3.329,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Annual),0,0,1477,Annual,0.004739,1.889,Direct
"Education, Instruction & Tutoring",vCita Business Single (Monthly),1,1,216,Monthly,0.277778,0,Direct
Business Services,vCita Business Single (Monthly),1,0,264,Monthly,0.000000,0,Direct
Alternative Medicine,vCita Essentials (Monthly),0,1,1941,Monthly,0.175683,0,Direct
Financial Services,vCita Business Single (Monthly),1,0,1940,Monthly,0.022165,0,Direct
"Education, Instruction & Tutoring",vCita Essentials (Annual),1,1,287,Annual,1.986063,0,Direct
Photography & Video,vCita Online Scheduling (Monthly),0,0,711,Monthly,0.040788,0,Direct
Government & Non-profit,vCita Online Scheduling (Monthly),0,0,433,Monthly,0.039261,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Annual),1,0,718,Annual,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Annual),0,0,1126,Annual,0.004440,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Annual),1,0,1915,Annual,0.041775,0,Reseller
Coaching & Consulting,vCita Essentials (Monthly),0,0,1547,Monthly,0.010989,0,Direct
Business Services,vCita Essentials (Monthly),0,0,304,Monthly,0.036184,0,Direct
Healthcare & Medical,vCita Online Scheduling (Annual),1,1,2472,Annual,0.548139,87.853,Direct
Legal Services,vCita Online Scheduling (Monthly),1,0,2051,Monthly,0.029254,0,Reseller
Business Services,vCita Essentials (Monthly),0,0,1074,Monthly,0.000000,0,Reseller
Healthcare & Medical,vCita Essentials (Annual),1,0,719,Annual,0.073713,3.031,Direct
Fitness,vCita Essentials (Monthly),0,0,588,Monthly,0.000000,0,Direct
Business Services,vCita Business (Monthly),0,0,290,Monthly,0.237931,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,112,Monthly,0.008929,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Annual),0,0,1869,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,1461,Monthly,0.019165,0,Direct
Legal Services,vCita Essentials (Monthly),0,0,196,Monthly,0.051020,5.242,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,683,Monthly,0.000000,0,Direct
Counseling & Mental Health,vCita Online Scheduling (Monthly),1,0,727,Monthly,1.781293,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Monthly),0,0,246,Monthly,0.044715,0,Direct
Alternative Medicine,vCita Essentials (Bi-Annual),1,1,1565,Annual,1.114377,0,Direct
"Hospitality, Travel & Leisure",vCita Essentials (Annual),0,0,1138,Annual,0.000879,0,Direct
"Education, Instruction & Tutoring",vCita Online Payments (Monthly),1,0,1033,Monthly,0.000000,0,Direct
IT & Web,vCita Lead Generation (Monthly),0,0,2032,Monthly,0.000000,0,Direct
Financial Services,Obs. vCita Essentials (Annual),1,0,2036,Annual,0.006876,0.7,Direct
Coaching & Consulting,vCita Essentials (Annual),0,0,1142,Annual,0.000000,0,Direct
Photography & Video,vCita Business (Monthly),0,0,205,Monthly,0.102439,0.366,Direct
Legal Services,Obs. vCita Essentials (Annual),1,0,2059,Annual,0.471102,1.251,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Monthly),1,0,948,Monthly,0.009494,0.004,Reseller
Coaching & Consulting,vCita Essentials (Annual),0,0,1475,Annual,0.053559,0,Direct
Business Services,vCita Online Scheduling (Annual),1,0,912,Annual,0.013158,0,Direct
Auto Services,Business (Annual),0,0,556,Annual,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Monthly),0,0,1017,Monthly,0.016716,0,Direct
Business Services,vCita Online Scheduling (Annual),0,0,748,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Monthly),0,0,98,Monthly,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Business (Annual),1,1,1384,Annual,0.872832,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,290,Monthly,0.000000,0,Direct
Government & Non-profit,vCita Essentials (Monthly),1,1,904,Monthly,0.003319,5.324,Reseller
Business Services,vCita Online Scheduling (Monthly),1,0,1152,Monthly,0.000868,0,Direct
